table_name,news_date
tweetsprocessed2018_02_06_2,2018-2-6
tweetsprocessed2018_02_06_3,2018-2-6
tweetsprocessed2018_02_06_4,2018-2-6
tweetsprocessed2018_02_06_5,2018-2-6
tweetsprocessed2018_02_06_6,2018-2-6
tweetsprocessed2018_02_06_7,2018-2-6
tweetsprocessed2018_02_06_8,2018-2-6
tweetsprocessed2018_02_07_1,2018-2-7
tweetsprocessed2018_02_07_10,2018-2-7
tweetsprocessed2018_02_07_2,2018-2-7
tweetsprocessed2018_02_07_3,2018-2-7
tweetsprocessed2018_02_07_4,2018-2-7
tweetsprocessed2018_02_07_5,2018-2-7
tweetsprocessed2018_02_07_6,2018-2-7
tweetsprocessed2018_02_07_7,2018-2-7
tweetsprocessed2018_02_07_8,2018-2-7
tweetsprocessed2018_02_07_9,2018-2-7
tweetsprocessed2018_02_08_1,2018-2-8
tweetsprocessed2018_02_08_2,2018-2-8
tweetsprocessed2018_02_08_3,2018-2-8
tweetsprocessed2018_02_08_4,2018-2-8
tweetsprocessed2018_02_08_5,2018-2-8
tweetsprocessed2018_02_08_6,2018-2-8
tweetsprocessed2018_02_08_7,2018-2-8
tweetsprocessed2018_02_09_1,2018-2-9
tweetsprocessed2018_02_09_2,2018-2-9
tweetsprocessed2018_02_09_3,2018-2-9
tweetsprocessed2018_02_09_4,2018-2-9
tweetsprocessed2018_02_09_5,2018-2-9
tweetsprocessed2018_02_09_6,2018-2-9
tweetsprocessed2018_02_09_7,2018-2-9
tweetsprocessed2018_02_09_8,2018-2-9
tweetsprocessed2018_02_02_1,2018-2-2
tweetsprocessed2018_02_02_10,2018-2-2
tweetsprocessed2018_02_02_11,2018-2-2
tweetsprocessed2018_02_02_12,2018-2-2
tweetsprocessed2018_02_02_13,2018-2-2
tweetsprocessed2018_02_02_2,2018-2-2
tweetsprocessed2018_02_02_3,2018-2-2
tweetsprocessed2018_02_02_4,2018-2-2
tweetsprocessed2018_02_02_5,2018-2-2
tweetsprocessed2018_02_02_6,2018-2-2
tweetsprocessed2018_02_02_7,2018-2-2
tweetsprocessed2018_02_02_8,2018-2-2
tweetsprocessed2018_02_02_9,2018-2-2
tweetsprocessed2018_02_03_1,2018-2-3
tweetsprocessed2018_02_03_2,2018-2-3
tweetsprocessed2018_02_03_3,2018-2-3
tweetsprocessed2018_02_03_4,2018-2-3
tweetsprocessed2018_02_03_5,2018-2-3
tweetsprocessed2018_02_03_6,2018-2-3
tweetsprocessed2018_02_03_7,2018-2-3
tweetsprocessed2018_02_03_8,2018-2-3
tweetsprocessed2018_02_04_1,2018-2-4
tweetsprocessed2018_02_04_2,2018-2-4
tweetsprocessed2018_02_04_3,2018-2-4
tweetsprocessed2018_02_04_4,2018-2-4
tweetsprocessed2018_02_04_5,2018-2-4
tweetsprocessed2018_02_04_6,2018-2-4
tweetsprocessed2018_02_04_7,2018-2-4
tweetsprocessed2018_02_04_8,2018-2-4
tweetsprocessed2018_02_04_9,2018-2-4
tweetsprocessed2018_02_05_1,2018-2-5
tweetsprocessed2018_02_05_10,2018-2-5
tweetsprocessed2018_02_05_11,2018-2-5
tweetsprocessed2018_02_05_2,2018-2-5
tweetsprocessed2018_02_05_3,2018-2-5
tweetsprocessed2018_02_05_4,2018-2-5
tweetsprocessed2018_02_05_5,2018-2-5
tweetsprocessed2018_02_05_6,2018-2-5
tweetsprocessed2018_02_05_7,2018-2-5
tweetsprocessed2018_02_05_8,2018-2-5
tweetsprocessed2018_02_05_9,2018-2-5
tweetsprocessed2018_02_06_1,2018-2-6
